201,201_1th House in Vedic Astrology.md,2024-07-31 14:32:29.403222,false,false
202,202_2th House in Vedic Astrology.md,2024-07-31 20:32:29.403222,false,false
203,203_3th House in Vedic Astrology.md,2024-08-01 02:32:29.403222,false,false
204,204_4th House in Vedic Astrology.md,2024-08-01 08:32:29.403222,false,false
205,205_5th House in Vedic Astrology.md,2024-08-01 14:32:29.403222,false,false
206,206_6th House in Vedic Astrology.md,2024-08-01 20:32:29.403222,false,false
207,207_7th House in Vedic Astrology.md,2024-08-02 02:32:29.403222,false,false
208,208_8th House in Vedic Astrology.md,2024-08-02 08:32:29.403222,false,false
209,209_9th House in Vedic Astrology.md,2024-08-02 14:32:29.403222,false,false
210,210_10th House in Vedic Astrology.md,2024-08-02 20:32:29.403222,false,false
211,211_11th House in Vedic Astrology.md,2024-08-03 02:32:29.403222,false,false
212,212_12th House in Vedic Astrology.md,2024-08-03 08:32:29.403222,false,false
